experiment_id,timestamp,host,in_num,in_unit,out_num,out_unit,in_pac_num,in_pac_unit,out_pac_num,out_pac_unit
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1-eth5,0.34,Mb/s,6.78,Mb/s,575.0,p/s,572.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1-eth6,0.49,Mb/s,9.73,Mb/s,822.0,p/s,821.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,total,30.53,Mb/s,32.19,Mb/s,4912.0,p/s,5383.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,ens4,0.01,Mb/s,1.68,Mb/s,9.0,p/s,484.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1-eth1,9.76,Mb/s,0.49,Mb/s,824.0,p/s,824.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1-eth2,9.32,Mb/s,0.46,Mb/s,787.0,p/s,776.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1-eth3,9.99,Mb/s,0.50,Mb/s,844.0,p/s,845.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1-eth4,0.49,Mb/s,9.76,Mb/s,824.0,p/s,824.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1-eth5,0.46,Mb/s,9.31,Mb/s,780.0,p/s,786.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366413,s1-eth6,0.50,Mb/s,9.99,Mb/s,844.0,p/s,844.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,total,31.20,Mb/s,31.22,Mb/s,5024.0,p/s,5027.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,ens4,0.01,Mb/s,0.01,Mb/s,8.0,p/s,7.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1-eth1,9.92,Mb/s,0.50,Mb/s,837.0,p/s,837.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1-eth2,9.83,Mb/s,0.49,Mb/s,829.0,p/s,836.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1-eth3,9.96,Mb/s,0.50,Mb/s,840.0,p/s,840.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1-eth4,0.50,Mb/s,9.92,Mb/s,837.0,p/s,837.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1-eth5,0.49,Mb/s,9.83,Mb/s,833.0,p/s,829.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366414,s1-eth6,0.50,Mb/s,9.97,Mb/s,840.0,p/s,841.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,total,28.85,Mb/s,28.84,Mb/s,4640.0,p/s,4640.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,ens4,0.01,Mb/s,0.01,Mb/s,9.0,p/s,8.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1-eth1,9.89,Mb/s,0.49,Mb/s,834.0,p/s,835.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1-eth2,9.31,Mb/s,0.46,Mb/s,785.0,p/s,780.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1-eth3,8.28,Mb/s,0.41,Mb/s,698.0,p/s,698.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1-eth4,0.49,Mb/s,9.89,Mb/s,834.0,p/s,836.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1-eth5,0.46,Mb/s,9.30,Mb/s,781.0,p/s,785.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366415,s1-eth6,0.41,Mb/s,8.28,Mb/s,699.0,p/s,698.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,total,28.57,Mb/s,28.60,Mb/s,4605.0,p/s,4623.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,ens4,0.01,Mb/s,0.01,Mb/s,11.0,p/s,13.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
